# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
177 0.875 0.425 8.28233e-06 1.09066e-06 -1.84707e-05 1.98681e+06 825082 -1.49186e+06 3.109e+06
178 0.925 0.425 2.32693e-06 3.34227e-06 -5.87315e-06 768372 932388 -474370 1.19097e+06
179 0.975 0.425 6.023e-07 -1.62551e-06 3.66438e-06 26457.2 -333420 295969 619261
180 0.025 0.475 3.09687e-05 -4.2169e-06 -1.28744e-05 6.85468e+06 1.17086e+06 -1.03986e+06 6.60118e+06
181 0.075 0.475 2.87405e-05 -8.19135e-06 -2.88073e-06 6.06532e+06 99413.5 -232675 6.02971e+06
182 0.125 0.475 2.76098e-05 -8.04456e-06 -5.34093e-07 5.81457e+06 55013.3 -43138.3 5.78774e+06
183 0.175 0.475 2.7422e-05 -8.17145e-06 2.21777e-07 5.76243e+06 12726.3 17912.8 5.75616e+06
184 0.225 0.475 2.75684e-05 -8.25487e-06 4.50989e-07 5.79045e+06 3612.03 36426 5.78899e+06
185 0.275 0.475 2.78296e-05 -8.35577e-06 4.71558e-07 5.84374e+06 -1589.8 38087.4 5.8449e+06
186 0.325 0.475 2.80855e-05 -8.44473e-06 3.86443e-07 5.89662e+06 -4406.95 31212.7 5.89908e+06
187 0.375 0.475 2.82653e-05 -8.51041e-06 2.24761e-07 5.93358e+06 -7111.44 18153.7 5.93722e+06
188 0.425 0.475 2.83064e-05 -8.5391e-06 -2.65239e-08 5.94109e+06 -10883.9 -2142.32 5.94654e+06
189 0.475 0.475 2.81288e-05 -8.51162e-06 -4.13501e-07 5.902e+06 -16839.8 -33398.2 5.91072e+06
190 0.525 0.475 2.76137e-05 -8.39674e-06 -1.01243e-06 5.79108e+06 -25991.4 -81772.8 5.80585e+06
191 0.575 0.475 2.65859e-05 -8.14489e-06 -1.92494e-06 5.57132e+06 -39030.4 -155476 5.59742e+06
192 0.625 0.475 2.48031e-05 -7.68142e-06 -3.25991e-06 5.19199e+06 -55500.2 -263301 5.23985e+06
193 0.675 0.475 2.19671e-05 -6.89921e-06 -5.07537e-06 4.59169e+06 -71327.6 -409934 4.68192e+06
194 0.725 0.475 1.77908e-05 -5.65972e-06 -7.22256e-06 3.71375e+06 -74417.2 -583361 3.88519e+06
195 0.775 0.475 1.21867e-05 -3.79861e-06 -9.00782e-06 2.54934e+06 -32907.2 -727555 2.85869e+06
196 0.825 0.475 5.71355e-06 -1.3995e-06 -8.75174e-06 1.22162e+06 72591.2 -706871 1.70527e+06
197 0.875 0.475 2.33971e-07 8.03251e-07 -4.86974e-06 109603 201564 -393325 703322
198 0.925 0.475 -1.97291e-06 1.34588e-06 1.42687e-06 -362109 174003 115247 514056
199 0.975 0.475 -5.62511e-07 -3.74911e-07 3.29124e-06 -155765 -125461 265831 482140
